"rt","responses","question_order","task","repeats","trial_type","trial_index","time_elapsed","internal_node_id","participant","turkCode","condition"
"25895.000000000466","{""Q1"":""To choose options based on my favourite colors."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Most choices will be between two options but sometimes a single option will be presented.""}","[0,1,2]","quiz","0","survey-multi-choice","6","284719","0.0-5.0-1.0","93952","675400","highRank"
"25758.00000000163","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Five and ten options will be presented for each choice.""}","[0,1,2]","quiz","0","survey-multi-choice","9","348965","0.0-5.1-1.1","93952","675400","highRank"
"15431.000000000524","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","12","371254","0.0-5.2-1.2","93952","675400","highRank"
"7155.000000002503","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Most choices will be between three options.""}","[0,1,2]","quiz","0","survey-multi-choice","15","384253","0.0-5.3-1.3","93952","675400","highRank"
"56503.00000000058","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","18","446342","0.0-5.4-1.4","93952","675400","highRank"
"19301.000000003143","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Five and ten options will be presented for each choice.""}","[0,1,2]","quiz","0","survey-multi-choice","21","501613","0.0-5.5-1.5","93952","675400","highRank"
"50862.00000000105","{""Q1"":""To choose options based on my favourite colors."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Five and ten options will be presented for each choice.""}","[0,1,2]","quiz","0","survey-multi-choice","24","562094","0.0-5.6-1.6","93952","675400","highRank"
"48351.00000000233","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned during the entire game."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","27","667862","0.0-5.7-1.7","93952","675400","highRank"
"26494.000000002445","{""Q1"":""To choose options based on my favourite colors."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Most choices will be between three options.""}","[0,1,2]","quiz","0","survey-multi-choice","30","699021","0.0-5.8-1.8","93952","675400","highRank"
"8263.000000002678","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned during the entire game."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","33","719165","0.0-5.9-1.9","93952","675400","highRank"
"14782.999999999534","{""Q1"":""To win the smallest possible number of points."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","36","739086","0.0-5.10-1.10","93952","675400","highRank"
"9255.000000001048","{""Q1"":""To choose options based on my favourite colors."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Five and ten options will be presented for each choice.""}","[0,1,2]","quiz","0","survey-multi-choice","39","754150","0.0-5.11-1.11","93952","675400","highRank"
"9085.999999999302","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","42","767862","0.0-5.12-1.12","93952","675400","highRank"
"23161","{""Q1"":""To win as many points as possible."",""Q2"":""No, it is not possible to earn a bonus payment in addition to the standard reward for the HIT."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","45","825902","0.0-5.13-1.13","93952","675400","highRank"
"14791.000000001048","{""Q1"":""To figure out the meaning of life."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Every choice will consist of three options.""}","[0,1,2]","quiz","0","survey-multi-choice","48","844965","0.0-5.14-1.14","93952","675400","highRank"
"26422.999999998836","{""Q1"":""To win as many points as possible."",""Q2"":""Yes! I can earn a bonus payment of $1 for every ten points earned for one randomly selected choice."",""Q3"":""Most choices will be between two options but sometimes a single option will be presented.""}","[0,1,2]","quiz","0","survey-multi-choice","51","1024102","0.0-5.15-1.15","93952","675400","highRank"
